,spot,timestamp,reporter,reporter_grid,snr,frequency,tx_call,tx_grid,power,drift,distance,azimuth,band,version,code
23129150,1112410107,1521862800,N8AUM,EM70em,-18,7.04007,AD8MW,EM79wt,23,0,1042,188,7,1.8.0-rc2,0
26508136,1115838934,1522180080,W1XP,FN42fo,-22,10.140138,W7SZ,CN85uo,37,0,3998,76,10,1.9.0-rc2,0
22976389,1112256743,1521845760,W4ERJ,FM09xj,-3,7.040092,WN2FMM,EL98hi,37,0,1265,13,7,1.8.0,0
7525555,1096720870,1520494440,N5CEY,EL16gc,-20,7.040184,W7REK,DM42lk,27,0,1492,115,7,1.8.0-rc2,0
6481588,1095663555,1520410920,OX3HI,GP47pa,-27,3.570042,KK1D,FN31vi,30,0,3141,18,3,1.8.0,0
21143248,1110426776,1521687600,OH2T,KP20kf,-26,1.8381150000000002,OZ7IT,JO65df,37,0,929,48,1,1.9.0-rc2,0
29093069,1118465102,1522428480,EI3RCW,IO62kf,-27,10.140214,DL3NGN,JN59mk,33,2,1309,291,10,1.8.0,0
4734286,1093908781,1520262720,WA4CQG,EM72fo,-17,14.097029999999998,2E0VDS,JO02al,37,1,6913,288,14,1.8.0,0
25546549,1114860074,1522084680,W3CSW,FM19kd,-19,14.097098999999998,G0GSJ,IO84jc,37,0,5605,285,14,1.8.0,0
15729531,1104990272,1521178800,PA0O,JO33hg,-10,1.838121,OZ7IT,JO65df,37,0,428,242,1,1.9.0-rc2,0
