,spot,timestamp,reporter,reporter_grid,snr,frequency,tx_call,tx_grid,power,drift,distance,azimuth,band,version,code
4541493,1093722523,1520245320,DC5AL-R,JO31lk,9,7.040113000000001,G0NJS,IO91vs,37,0,496,91,7,,0
4692526,1093866340,1520259000,KA3JIJ,EM84cj,-27,10.140175,WB0KSL,EM28nu,37,0,1105,113,10,,0
17907988,1107180087,1521372240,PI9ESA,JO22ff,-5,10.140179,IQ6KX,JN63so,20,0,1172,328,10,,0
10270295,1099476317,1520727720,PA0EHG,JO22hb,-17,3.594176,PA7MDJ,JO21is,23,0,33,350,3,,0
29854808,1119235300,1522494360,AG5OV,EL09,-10,7.040137,WA4KFZ,FM18gv,37,0,2236,249,7,1.9.0-rc3,0
17284312,1106552709,1521310320,DL1KAI,JO42vj,-13,5.366268,G4ZFQ,IO90ir,30,0,787,72,5,1.8.0,0
22005641,1111287751,1521764760,KV0S,EM38,-20,10.140179,VA3UAL,EN94xc,27,0,1251,244,10,1.8.0,0
9448304,1098651931,1520641920,K3SC,FM19lh,-4,7.040181,WV5L,EM74sc,37,0,878,47,7,1.6.0,0
448744,1089591346,1519903920,G7VGY,IO90is,-18,7.040094,PA0ANH,JO22lh,27,-1,465,251,7,1.9.0-rc2,0
9784893,1098988233,1520675280,SM0EPX/RX2,JO89si,-20,10.140144,9A9Y,JN85iw,10,0,1493,2,10,1.6.0,0
18341690,1107611834,1521399720,G4WLC,IO81rs,11,1.838052,PA0A,JO33de,43,0,618,259,1,1.8.0,0
13744809,1102985977,1521023040,VK5MR,PF89kk,-19,7.040114,VK3YE,QF21nw,20,0,1126,315,7,1.8.0-rc1,0
12583804,1101813875,1520934840,KA7OEI-2,DN31uo,-2,1.838159,VE6XH,DO24tc,37,0,1398,173,1,1.2 Kiwi,0
25765983,1115081907,1522101480,WA1DLZ,FN54bp,-6,10.140158999999999,AJ8S,EM89bt,27,0,1270,60,10,1.8.0,0
23189670,1112470046,1521871800,M6GQU,IO91tm,-13,7.040116,DJ0ABR,JN68nt,37,0,1006,293,7,,0
6867873,1096048384,1520438640,W3BCW,FM19ka,-15,7.040135,WA4KFZ,FM18gv,37,0,32,64,7,1.7.0-deve,0
16999991,1106268482,1521288480,AC0G,EM38ww,-24,7.040012,VK3DXE,QF21nv,37,0,15119,70,7,1.8.0,0
28785840,1118155248,1522404720,OE2XRM,JN67lt,-15,7.0400990000000006,M6WMY,IO93is,37,1,1198,118,7,2.12_r3617,0
28714689,1118084516,1522398480,PI9ESA,JO22ff,-5,3.594118,G0FTD,JO01,30,0,254,69,3,,0
19058322,1108332554,1521469320,N2BJW,FN34im,-20,7.0400979999999995,AC4ML,FM04,40,0,1220,22,7,1.9.0-rc2,0
19286186,1108560436,1521486480,EA1KV,IN52og,-33,0.475717,EA1FBU,IN52qg,33,0,14,270,0,1.8.0-rc1,0
27381488,1116726990,1522271160,PA0EHG,JO22hb,-17,0.47578400000000004,IK1HSS,JN35tb,23,0,809,345,0,,0
17923945,1107196671,1521373320,LA9JO,JP99gb,-15,14.097024,DL9UPJ,JO53,27,0,1776,10,14,2.0_r1714,0
10694717,1099897186,1520771640,EI7HZB,IO65fb,-4,14.097002,OE3XOE,JN87aq,27,0,1819,306,14,2.12_r3617,0
6876530,1096057560,1520439240,NV0O,EM28tt,-18,10.140153999999999,W1XP,FN42fo,37,0,1964,265,10,1.9.0-rc2,0
11159310,1100362031,1520807640,PA0EHG,JO22hb,-15,3.594128,DL1FX,JN49gr,23,0,378,315,3,,0
13116905,1102347690,1520973960,K9DZT,EN52wx,-21,7.040106,VE3FKN,FN03,23,0,738,269,7,1.8.0-rc3,0
788913,1089931476,1519931400,VK5KJP,PF95gd,-24,7.040056,VK6JB,PF09rg,27,1,1659,111,7,1.8.0,0
14633568,1103885156,1521091920,KA3JIJ,EM84cj,-24,7.03998,KB9AMG,EN52tx,37,0,1034,156,7,,0
6930513,1096112745,1520442840,OE5AFP,JN78dh,3,10.140139,G6ORN,IO91jo,37,0,1165,102,10,1.2 Kiwi,0
5468970,1094646464,1520327280,WB3AVN,FM19,-16,0.475709,K5DNL,EM15lj,37,0,1819,70,0,1.8.0-rc2,0
4195107,1093359936,1520209560,N2BJW,FN34im,2,0.475652,WA4SZE,EM65,23,0,1540,45,0,1.8.0-rc2,0
26986628,1116333027,1522236240,ON7KB,JO21ei,-3,7.04015,DH5RAE,JN68qv,33,0,697,296,7,17.7.0,0
19597563,1108871136,1521525960,DL1KAI,JO42vj,-7,3.594124,DL1FX,JN49gr,23,0,309,16,3,1.8.0,0
5077308,1094253418,1520292480,DL1KAI,JO42vj,-6,3.594124,DL1FX,JN49gr,23,0,309,16,3,1.8.0,0
28022638,1117386936,1522339200,EA8BFK,IL38bo,-10,10.140178,EA6FG,JM19hp,27,0,1947,236,10,,0
26788488,1116135082,1522212240,DK8FT/B,JN58oe,-6,3.594101,OM1AI,JN88,23,0,426,268,3,,0
7784869,1096980538,1520515800,K9AN,EN50wc,-18,14.09704,SP9WTC,KN09lk,40,-1,7887,310,14,,0
29048699,1118420985,1522425120,DL7JKD,JO62sk,-23,7.040147,G8WVW,IO81vu,37,-3,1075,80,7,1.8.0,0
30339563,1119720424,1522529520,KB1VC,FM19ng,-9,14.09699,KB4RG,EM02dk,37,0,2186,63,14,1.8.0,0
15571223,1104833339,1521159360,N2LAW,FN42dr,-15,14.097114999999999,KD6RF,EM22la,37,0,2369,53,14,1.2 Kiwi,0
28016073,1117370597,1522338600,KE1THA,EN43,-16,14.09709,KK4INZ,EL89,10,0,1711,338,14,1.8.0,0
6649066,1095831260,1520422560,DL4UP,JO60dq,-20,14.097048000000001,IZ4LXP,JN54lg,37,0,720,8,14,,0
11529684,1100739327,1520845320,KW4KD,EM75jc,-10,7.040106,KD6RF,EM22la,37,0,973,67,7,0.9_r5279,0
13423237,1102667006,1520998080,NN4EE,EM83gv,-17,7.040048,DL5RBD,JN69kb,37,0,7652,298,7,1.8.0,0
7759830,1096955872,1520513520,DF5FH,JO42um,-11,7.040058,DG6RCH,JN68hp,30,1,477,336,7,,0
29147780,1118518384,1522432200,KA7OEI,DN40ao,-27,10.140212,W6KYM,DM13,23,0,911,28,10,1.2 Kiwi,0
3067113,1092217904,1520118720,DF5FH,JO42um,-6,3.594075,PA3MRO,JO22oi,37,0,306,85,3,,0
29511210,1118891959,1522462200,RT2T,LO26dd,-22,7.040030000000001,HB9FXY,JN36cl,37,0,2812,54,7,,0
15193071,1104444055,1521131040,EA1FAQ,IN71pn,-21,7.040136,HB9MTN,JN47hl,23,0,1243,243,7,1.8.0-rc2,0
29710733,1119091080,1522482240,KR7O,DM07ba,-23,0.47563900000000003,W1IR,FN34lp,37,0,3974,274,0,1.9.0-rc2,0
4535019,1093707574,1520244720,DL1GCD/2,JN48ar,-21,7.040139999999999,G8LIK,IO93cn,23,0,870,124,7,,0
26338760,1115671420,1522165680,PA0SLT,JO33kg,-22,7.04017,IK3NLK,JN55wk,20,0,943,339,7,1.8.0-rc1,0
23375092,1112660778,1521889320,DL1GCD/1,JN48ar,0,7.0400350000000005,G6FOV,IO70wm,37,-1,898,98,7,,0
8561795,1097757189,1520579280,DK0VLP,JO52kk,-10,3.594114,OM1AI,JN88,23,0,615,318,3,,0
16082650,1105343579,1521209160,DL4XJ,JO42un,-8,7.040089999999999,G4KWL,IO81,23,0,880,77,7,1.8.0,0
24822634,1114117872,1522006200,ES3AT,KO18uo,-9,7.040074000000001,DL6NL,JO50cb,27,0,1287,37,7,,0
29719641,1119100679,1522483080,DK0VLP,JO52kk,-14,7.040064999999999,IK1WVQ,JN44cb,27,0,952,11,7,,0
20164010,1109440724,1521581400,DK2DB,JN48fw,-27,0.475757,EA3IW,JN11bj,23,0,974,28,0,0.8_r3058,0
6370927,1095552900,1520401800,W6SFH,CM88pl,-20,0.475652,WA4SZE,EM65,23,0,3166,287,0,1.7.0,0
12066588,1101287581,1520885880,KW4KD,EM75jc,-25,7.040041,VA3EEM,FN25dh,37,0,1390,219,7,0.9_r5279,0
29504841,1118886464,1522461480,DO6RPS,JO42ic,-28,3.594149,G0NJS,IO91vs,37,0,612,83,3,1.8.0,0
29352917,1118725428,1522446120,F/PE3ES,JN28uw,-25,3.594069,F1VMV,JN24kh,30,0,518,7,3,17.9.0,0
18275799,1107546560,1521395760,UA3ALF,KO85su,-4,14.097152,PD2PCH,JO23ve,30,0,2052,69,14,1.9.0-rc2,0
7125715,1096307376,1520456520,G4HZX,IO91xk,-16,7.040202000000001,EA5ISK,IM99tl,37,0,1330,1,7,1.8.0,0
11052971,1100256656,1520798520,PA0JEN,JO21io,-25,3.5941650000000003,DK8JP,JO31gk,30,0,128,279,3,1.7.0,0
30421680,1119803664,1522536000,F1EYG/B,JN18ar,4,1.838075,G3ZJG,IO92hq,37,0,501,150,1,,0
23405450,1112691578,1521891840,DF5FF,JO40kd,-24,50.294507,DF4PV,JN49ax,37,1,62,72,50,1.9.0-rc2,0
25861725,1115190108,1522112760,DF1QQ/RX,JO32sd,-17,7.040089,LZ0GHB,KN32,23,0,1807,313,7,1.8.0,0
9201705,1098399387,1520623800,DL4UP,JO60dq,6,7.0400990000000006,SM5ZCJ,JO78tr,37,0,919,195,7,,0
19557320,1108831215,1521518280,PA0O,JO33hg,-19,3.59409,9A9Y,JN85iw,10,0,1090,322,3,1.9.0-rc2,0
27622828,1116975872,1522301280,IZ4LXP,JN54lg,-27,7.0400279999999995,DL0PBS,JO33,23,-1,1064,163,7,1.8.0,0
23168648,1112448940,1521869040,IZ4LXP,JN54lg,-26,14.097044,IZ3XDX,JN55vj,20,0,141,208,14,1.8.0,0
6732914,1095915102,1520428800,M0XDK,IO92ne,-26,10.140211,SA7DLC/M,JO76wo,30,0,1186,253,10,,0
9828688,1099031553,1520680200,VA3ROM,EN58jk,-11,7.040086,WN2FMM,EL98hi,37,0,2332,345,7,1.2 Kiwi,0
24347774,1113632971,1521971400,KC8NQY,EM79vi,-8,7.040102,K0DSP,EN10ow,30,-2,1083,95,7,1.8.0,0
5295952,1094475368,1520313960,K9MRI,EN70iu,-23,475.001545,W3LPL,FM19lg,37,0,724,287,475,1.9.0-rc2,0
359763,1089503461,1519896600,DK8FT/B,JN58oe,-6,7.040017,G4IOG,JO01ii,20,0,831,111,7,,0
29690653,1119071225,1522480560,KA7OEI,DN40ao,-19,3.594091,N5GG,EM13la,23,2,1570,307,3,1.2 Kiwi,0
13547644,1102789609,1521009600,N4AU,EM62vp,-18,7.040162,VE3NFK,FN14tk,23,0,1563,216,7,1.9.0-rc2,0
7901929,1097097299,1520524800,K3RWR,FM18qi,4,14.097119000000001,KD6RF,EM22la,37,0,1812,62,14,,0
19167588,1108441341,1521477600,GM4SFW,IO77sn,-14,7.040064999999999,PA3FJH,JO22,23,0,823,317,7,,0
21770051,1111052402,1521744000,PA3BTI,JO22ng,-10,3.594101,DO2AC,JO40lc,37,0,360,314,3,,0
14639789,1103891988,1521092640,PI4THT,JO32kf,-15,1.8380729999999998,F5VNE,JN33,37,0,973,360,1,0.6,0
8252032,1097447057,1520550240,KA7OEI,DN40,-5,10.140199,K0DSP,EN10ow,30,-2,1201,272,10,1.2 Kiwi,0
21219146,1110502639,1521699360,F4TTR,JN18oj,-19,7.040074000000001,W1XP,FN42fo,37,0,5627,56,7,1.8.0-rc1,0
22969152,1112248733,1521845160,OZ0AP,JO65eg,-17,10.140227000000001,OZ1FJB,JO55si,37,0,54,100,10,2.21_r2286,0
7355238,1096542879,1520477040,VK7JJ,QE38lr,-7,7.0400789999999995,VK2RG,QF56mc,23,0,895,202,7,1.8.0,0
3665437,1092825155,1520168520,GM4SFW,IO77sn,-27,10.140279,DF0OV,JN39,23,0,1171,324,10,,0
5705283,1094881603,1520344560,LA3JJ,JO59bh,-3,10.140239,IZ4LXP,JN54lg,37,0,1674,358,10,1.8.0,0
15056837,1104309680,1521122160,OH8GKP,KP24rt,0,14.096991000000001,DB9AZ,JO43vn,37,1,1528,29,14,,0
26974250,1116319935,1522234920,OZ2JBR,JO65di,-25,3.594148,PA0KN,JO21,23,0,649,46,3,1.8.0,0
3413095,1092570631,1520151240,DK6UG,JN49cm,-26,3.594115,OZ8PZ,JO47,23,0,886,184,3,,0
19337784,1108611781,1521490920,G3WCB,IO80ei,-24,0.475759,LA3EQ,JO28xj,37,0,1086,219,0,1.9.0-rc2,0
9883106,1099086420,1520686200,F5SN,JN27rb,-18,14.097066,WA8KNE,EM90gg,37,0,7381,48,14,1.8.0,0
14799648,1104050093,1521105360,DF5FH,JO42um,-22,7.040097,PE1RQW,JO21ns,43,0,324,73,7,,0
27106005,1116452184,1522247640,VK7KPC,QE38ok,-25,7.040189,4L4ZAZ,LN21ir,40,0,13813,118,7,1.8.0-rc1,0
21515205,1110799179,1521724200,LA9JO,JP99gb,-28,14.097085,M0TVV,IO90rt,37,1,2268,20,14,2.0_r1714,0
10651010,1099855551,1520768280,DK8FT,JN58oe,-10,10.140156,EA3FLN,JN11nu,23,0,947,39,10,,0
26842961,1116189602,1522220400,VK5EI,PF95gd,-23,10.140203,VK3CBV,QF22ra,23,1,709,297,10,1.8.0,0
19728120,1109001462,1521539880,G3WUN,IO91,-26,7.0400979999999995,IK5LWE,JN53mv,37,0,1234,317,7,1.7.0,0
26838169,1116184251,1522219800,IZ4LXP,JN54lg,-22,7.040108,M0KWN,IO90,23,1,1135,123,7,1.8.0,0
6856424,1096037941,1520437800,DK0VLP,JO52kk,-7,14.097103,IT9YBG,JM78se,33,1,1625,349,14,,0
9842002,1099044914,1520681760,G8EPA,IO91vt,-27,7.040106,HB0QRP,JN47,23,0,816,310,7,2.0_r1714,0
29957528,1119336903,1522502880,K7GXB,DM34sn,-10,14.097112,WD8ING,EM87ki,37,0,2648,272,14,1.8.0,0
13822143,1103064397,1521028920,DL1GCD/1,JN48ar,-12,3.5940540000000003,DL4UP,JO60dq,33,0,375,236,3,,0
7108164,1096290305,1520455200,MW6HDV,IO81gn,-22,7.040146000000001,HB9MTN,JN47hl,23,0,982,302,7,1.8.0,0
14978673,1104230564,1521117240,KB9AMG,EN52tx,-1,7.040139999999999,WA4KFZ,FM18gv,37,0,1022,300,7,1.6.1-deve,0
14167821,1103407219,1521052680,RK3RZZ,LO02gv,-25,3.5701059999999996,OZ2JBR,JO65di,37,0,1848,87,3,1.8.0,0
15702835,1104963128,1521175320,G3ZIL,IO90hw,-22,7.040058,SM7GVS,JO66,23,0,1123,243,7,1.7.0-rc1,0
23721380,1113004734,1521914160,DL0HT,JO43jb,-2,3.594099,DO3HUM,JO51,30,0,230,321,3,,0
18966339,1108241171,1521461760,SM0EPX/RX2,JO89si,-2,10.140137,G7TSX,IO83,23,1,1417,54,10,1.6.0,0
721796,1089864369,1519926240,SV8BUR,KM08,-24,7.040128,PE1RFF,JO21ul,27,-1,1871,135,7,1.8.0,0
24891040,1114184129,1522010640,KA3JIJ,EM84cj,-24,7.040141,N8VIM,FN42fq,37,-3,1406,233,7,,0
20581921,1109865468,1521634920,K6SRO,CM88ql,-23,0.47561800000000004,K9FD,BL11je,30,0,3817,52,0,2.0_r1714,0
26639744,1115971120,1522193760,OZ7IT,JO65df,-18,7.040031,IZ4LXP,JN54lg,30,-1,1222,4,7,1.8.0,0
12820573,1102047872,1520953200,W7IG,CN85hc,-24,7.0400990000000006,VE4WSC,EN19ku,37,0,2031,265,7,1.8.0-rc1,0
25186874,1114493555,1522047960,VE7ECK,CO54qm,-10,7.040089,K5ZE,DM65,37,0,2691,329,7,1.9.0-rc3,0
6255392,1095438266,1520389440,G4GCI,IO90gu,4,5.288759,G4ZFQ,IO90ir,30,0,18,320,5,1.8.0,0
3446154,1092603358,1520153400,SM0EPX/RX2,JO89si,0,10.140122999999999,DL2XL/P,JN39vd,23,0,1297,25,10,1.6.0,0
950764,1090093261,1519945320,K9AN,EN50wc,-6,7.040078,VE4GA,EN19,37,0,1256,143,7,,0
22675786,1111957952,1521823680,UKPR25,IO83pt,-15,7.0401039999999995,SA7DLC/M,JO76vo,30,0,1210,263,7,1.2 Kiwi,0
18658174,1107930927,1521429120,F4GUK,JN18gt,-22,0.475764,IK1HSS,JN35tb,23,0,568,319,0,1.9.0-rc2,0
23118857,1112399011,1521861120,KJ4YBS,FM28bh,-18,0.475688,W4KZK,EM97xe,27,0,387,70,0,1.8.0,0
12798853,1102027621,1520951640,EA1IOW,IN83gj,4,14.097172,SP2NBH,JO94ji,33,-4,2018,242,14,1.8.0-rc2,0
1176649,1090330394,1519966320,WN0R,EN22vm,-18,7.040189999999999,W7REK,DM42lk,27,0,1855,48,7,1.9.0-rc2,0
17613649,1106885487,1521349680,WD4ELG,FM06be,-24,7.040100999999999,K6KWI,DM13cu,40,0,3441,75,7,1.8.0,0
16608372,1105879618,1521255360,DL2XL,JO31ce,-12,1.83808,G4BBH,JO01pd,37,0,343,87,1,,0
11421827,1100632208,1520836800,W8AC,EN91jm,-28,7.040041,KB4DXV,DM42mf,27,0,2823,60,7,1.8.0,0
25482823,1114797694,1522079280,G3CWI,IO83wg,-29,14.097199,G7OAE,IO83xc,30,1,19,343,14,1.8.0,0
27902944,1117256463,1522329360,N2HQI,FN13sa,-18,14.097139000000002,EI2GN,IO51sv,37,0,5015,287,14,,0
19541138,1108815183,1521515160,K5XL,EM12kp,-6,7.040174,KM6I,CM87wj,33,0,2330,96,7,1.9.0-rc2,0
4650805,1093825385,1520255400,DL5XAH,JO43xs,-22,7.040133999999999,OE5FXC,JN78ah,27,-2,670,336,7,1.8.0,0
11640516,1100849985,1520853480,N5CEY,EL16,-21,10.140201,VE3NFK,FN14tk,23,0,2721,230,10,1.8.0-rc2,0
15705508,1104966363,1521175680,K3SIW/5,EN52ta,-20,0.47561499999999995,N9JL,EN51vm,7,0,57,346,0,1.9.0-rc2,0
7952759,1097147718,1520528520,OZ7IT,JO65df,-19,7.040151,M0MVA,IO81,30,0,1097,62,7,1.8.0,0
17532647,1106804258,1521338160,DK8JP/1,JO31gk,2,3.5941059999999996,OM1AI,JN88,23,0,814,298,3,,0
23483033,1112768748,1521897360,VK7JJ,QE38lr,-20,14.097171,DF2LS,JO53dr,37,0,16544,84,14,1.8.0,0
357082,1089499994,1519896360,N8AUM,EM70em,-28,0.47578100000000006,K1UTI,EL86wx,27,4,521,320,0,1.8.0-rc2,0
30376000,1119757649,1522532400,DF5FH,JO42um,-11,3.5941019999999995,DG2NPE,JN59tw,23,0,317,336,3,,0
2829770,1091980899,1520097840,KD6RC,CM88ql,-11,10.140196000000001,VE7BPB,CN89lg,37,0,1200,178,10,1.7.0,0
19133697,1108407389,1521475080,KA3JIJ,EM84cj,-26,10.140101,N3UTG,FN20nd,37,0,1015,234,10,,0
11998166,1101221222,1520881080,PI4THT,JO32kf,-25,10.140238,0L3BKD,HF25,23,0,10469,24,10,0.6,0
23549295,1112834796,1521901920,DJ6OL,JO52ap,-18,7.040033,IZ4LXP,JN54lg,30,-2,934,356,7,1.8.0,0
4878001,1094050700,1520274840,AJ8S,EM89bt,-6,7.040024000000001,K3EA,FN20of,30,0,775,270,7,1.8.0-rc2,0
4367214,1093532827,1520229720,N8VIM,FN42fq,8,7.0400089999999995,DJ0ABR,JN68nt,37,0,6257,298,7,1.8.0,0
24840531,1114134288,1522007280,DO9KAS,JO42ui,-13,7.040126,M6WMY,IO93is,37,-1,751,98,7,,0
12077225,1101297898,1520886600,VE3MNA,EN95eg,-5,7.040083999999999,KN8DMK,EM89oo,23,0,637,8,7,1.8.0,0
18870246,1108140551,1521454080,F1VMV,JN24kh,-1,10.140219,PA3BTI,JO22ng,33,0,885,181,10,0.8_r3058,0
4116288,1093277506,1520202000,F59706,JN07th,-26,0.475729,LA8AV,JO59cs,27,0,1494,206,0,1.9.0-rc2,0
16329716,1105598146,1521228600,G0LUJ,IO83ls,-25,7.040199,DL5SMB,JN48jk,37,0,1015,310,7,,0
30219626,1119598806,1522521360,DG9MGC,JN58td,-17,7.040112,G3SHF,IO83,27,-1,1186,114,7,1.9.0-rc3,0
28632694,1118002199,1522391040,VA3ROM,EN58jk,-18,3.594099,K6SRO,CM88ql,37,0,2887,57,3,1.2 Kiwi,0
26176083,1115508641,1522150200,DJ0HO/MM,GC07,-25,14.097069,ZS1OA,JF95fx,37,0,6072,214,14,,0
17933062,1107204056,1521373800,M1GEO,JO02ok,-17,14.097017000000001,SP9WTC,KN09lk,40,-1,1419,291,14,,0
17276757,1106545407,1521309600,N8VIM,FN42fq,1,7.040103,VA1VM,FN85ij,23,0,724,248,7,1.9.0-rc2,0
18641908,1107914458,1521426840,PA0MBO,JO32ke,-18,0.475674,DH5RAE,JN68qv,27,0,587,311,0,,0
9547242,1098751029,1520650560,K3SC,FM19lh,-13,7.040049000000001,DL5RBD,JN69kb,37,-1,6823,298,7,1.6.0,0
19526352,1108799763,1521512640,K6PZB,CM88nk,-22,7.040135,WA4KFZ,FM18gv,37,0,3902,284,7,1.8.0,0
1787509,1090943725,1520013720,N2HQI,FN13sa,-28,7.040122,KC9ZMY,EN61er,23,0,928,77,7,1.7.0,0
5906610,1095081933,1520359560,G0LUJ,IO83qv,0,3.594175,LA3JJ,JO59bh,37,0,983,238,3,,0
26793725,1116140817,1522213080,BM4AIK,PL02dp,-27,10.140266,JA5NVN,PM74ec,33,-1,1873,231,10,2.0_r1714,0
26626460,1115957682,1522192200,WB5FKC,DM61ts,-21,10.140263000000001,KR6ZY,CM95rc,23,0,1364,102,10,2.0_r1714,0
1432335,1090587356,1519988640,ON7KB,JO21ei,-20,7.040139999999999,G4CPD,IO94hc,37,-1,493,126,7,1.9.0-rc2,0
23877177,1113158038,1521922560,KB0VHK,EN34iv,-24,14.097098999999998,KD0OVS,EN34mt,20,0,28,290,14,1.8.0,0
29334793,1118705987,1522444800,KA4PKB/0,EN41kf,-17,14.097051,KK6I,DM13lb,33,0,2458,61,14,1.8.0,0
9975813,1099179292,1520696520,VK5MR,PF89kk,-24,7.040095,WI6P,CN87oh,27,0,13186,255,7,1.8.0-rc1,0
12201273,1101422835,1520897400,K2JY,EM40xa,-21,7.040067999999999,W1VR,EL98it,20,0,858,281,7,1.8.0,0
2932090,1092084773,1520105760,DK8FT/A,JN58oe,-12,7.0400990000000006,G4KWL,IO81,20,0,1083,104,7,,0
27381868,1116727532,1522271160,VE3GHM,FN25ig,-14,7.0401110000000005,N4MN,FM05qv,37,0,1080,14,7,1.8.0,0
2313148,1091463960,1520060640,DL/PA0EHG,JO32sq,-23,7.040172,M0JLA,IO82pb,17,0,699,80,7,,0
24082738,1113367632,1521940200,N4BBQ,EM84bm,-18,0.47559300000000004,WA4SZE,EM65,23,0,307,109,0,1.8.0,0
17761688,1107033757,1521362760,G3SXH,IO80fr,-11,1.838084,G4JNT,IO90iv,43,0,159,264,1,2.0_r1714,0
11637575,1100846430,1520853240,K9ZX,EN60xa,-19,7.040114,VK2EFM,QF56pn,37,0,14941,64,7,1.8.0,0
9121846,1098318473,1520618640,OZ1AAB,JO65cs,-1,3.594118,PA0SLT,JO33kg,37,0,442,49,3,,0
27039801,1116386970,1522241280,OU9A,JO46wb,-13,7.040188000000001,G0VCA,IO81xx,23,0,899,55,7,1.8.0,0
19187480,1108461876,1521479040,DO9KAS,JO42ui,-20,3.5940870000000005,DL4ABB,JO52gg,23,0,57,280,3,,0
11585579,1100795213,1520849520,EA8BFK,IL38bo,10,14.097094,PA3ABK,JO21it,27,0,3005,218,14,,0
1097248,1090242790,1519958520,DK8FT,JN58oe,3,3.570011,G4GCI,IO90gu,43,0,960,103,3,,0
27883062,1117236926,1522327680,GM4SFW,IO77sn,-22,7.040047,DL5RBD,JN69kb,37,0,1482,316,7,,0
4876672,1094049662,1520274720,NO3M,EN91wr,-29,0.475709,K5DNL,EM15lj,37,0,1627,59,0,1.9.0-rc2,0
3281945,1092440451,1520140200,N5CEY,EL16,-23,10.140284,KB2SVD,FN20nh,23,0,2557,240,10,1.8.0-rc2,0
27876194,1117229773,1522327080,K1LC,FN42nf,-17,14.097074,K0DSP,EN10ow,30,1,2152,78,14,2.12_r3617,0
22299489,1111582065,1521796800,DK8JP/1,JO31gk,-15,5.366135,DL1FX,JN49gr,17,0,237,324,5,,0
14920865,1104172269,1521113640,PA0ARR,JO21du,-2,7.040135,OZ7IT,JO65df,37,0,648,238,7,1.8.0,0
2956682,1092109228,1520107920,G3TGD,IO82ud,2,7.040166999999999,DG7RJ,JN58th,37,0,1076,299,7,1.8.0,0
616906,1089760297,1519917840,OZ7IT,JO65df,-27,3.594072,M0WID,IO91wf,23,0,937,57,3,1.8.0-rc2,0
22714813,1111996717,1521826200,IZ3LCH,JN55wg,10,14.097145999999999,SV8LMM,KM18tk,27,0,1233,312,14,1.2 Kiwi,0
15742175,1105002790,1521180480,OZ7IT,JO65df,-13,3.5940550000000004,SM0FKI,JO89,23,0,549,213,3,1.8.0-rc2,0
30280868,1119659346,1522525320,W7VXS,CN87vm,-21,14.097159,KK4INZ,EL89,10,0,3896,312,14,1.9.0-rc3,0
6273929,1095455698,1520391360,W7REK,DM42lk,-13,7.040071000000001,NU6O,CN70vr,23,0,1491,124,7,1.8.0,0
23972759,1113252640,1521930000,G3YJZ,IO91xp,-24,7.040146000000001,N2KMF,FN33eh,37,0,5368,53,7,1.8.0-rc1,0
21077589,1110361784,1521679200,W6GJB,CM87,-11,10.140132000000001,VA7TZ,DN09fu,30,0,1404,193,10,1.8.0,0
8099629,1097294801,1520539200,DL1GCD/1,JN48ar,-13,7.04007,EA5CYA,IM99,23,0,1257,32,7,,0
3573568,1092731014,1520161680,KC2STA1,FN22vx,-16,1.838075,AA1A,FN42pb,37,0,304,291,1,1.8.0,0
23381158,1112666351,1521889800,VA1VM,FN85ij,-20,10.140201,NI5F,EM70,37,0,2513,43,10,1.9.0-rc2,0
14528585,1103780856,1521080280,PA0EHG,JO22hb,-25,7.040075999999999,9K2/VO1DZA,LL49bc,37,-1,4376,318,7,,0
1409192,1090563936,1519986840,WN0R,EN22vm,-20,7.040108999999999,WI6P,CN87oh,27,0,2299,93,7,1.9.0-rc2,0
5793742,1094970383,1520351040,G4VVT,IO83vn,-11,7.040075999999999,DK5LH,JO31me,33,0,681,296,7,1.6.0,0
11069738,1100272760,1520799720,OZ7IT,JO65df,-26,5.288755999999999,G6PSZ,IO82,23,0,1049,67,5,1.8.0-rc2,0
14947646,1104199833,1521115440,DC5AL-R,JO31lk,4,7.040121000000001,SM7BKZ,JO86gr,27,0,857,231,7,,0
11635728,1100844845,1520853120,DL1KAI,JO42vj,-10,7.040067,M0JRC,IO90,23,0,780,70,7,1.8.0,0
15839220,1105100690,1521189960,N3BBF,FM19kb,-13,7.040027,AC0TG,DM79mw,37,0,2380,83,7,1.8.0,0
2978100,1092129595,1520109840,F4KJI,JN38un,-5,0.47573000000000004,LA8AV,JO59cs,27,0,1257,188,0,1.8.0,0
8908484,1098106951,1520605320,DK8FT,JN58oe,-27,7.040038000000001,DL5RBD,JN69kb,37,0,156,232,7,,0
8554487,1097751540,1520578800,G8DYK,IO85te,-1,1.8381759999999998,G0VCA,IO81xx,23,0,357,357,1,1.9.0-rc2,0
21151539,1110435323,1521688920,AC7JW,DN40bu,-25,7.040188000000001,K7KRR,CN87uc,30,0,1084,126,7,1.8.0-rc1,0
12092047,1101313059,1520887680,OZ7IT,JO65df,-19,3.59405,UA3AHM,KP55,33,0,1522,230,3,1.8.0-rc2,0
2184248,1091337358,1520047200,W0AY,DN26xo,-26,1.838182,NV0O,EM28tt,37,0,1819,305,1,,0
28432911,1117802262,1522369800,EB1HRW,IN71pq,-15,7.040145,OE5FXC,JN78ah,27,0,1642,250,7,1.8.0,0
15221851,1104471509,1521132840,JA5NVN,PM74ec,-25,7.040174,VR2XNL,OL72ah,23,0,2378,52,7,1.9.0-rc2,0
